regime,repeat,coalition,coalition_key,coalition_size,loss,orders
nyc_taxi,0,dimension_drift|missing_measures|stale_timestamps|value_noise,dimension_drift|missing_measures|stale_timestamps|value_noise,4,0.1846205850662997,100000
nyc_taxi,0,duplicate_facts|missing_measures|stale_timestamps|value_noise,duplicate_facts|missing_measures|stale_timestamps|value_noise,4,0.12630320855628763,100000
nyc_taxi,0,dimension_drift|duplicate_facts|missing_measures|value_noise,dimension_drift|duplicate_facts|missing_measures|value_noise,4,0.14468776102207365,100000
nyc_taxi,0,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.21746216654024766,100000
nyc_taxi,0,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.13959962704729192,100000
nyc_taxi,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,4,0.13580721951877725,100000
nyc_taxi,0,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,4,0.17448752145487717,100000
nyc_taxi,0,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,4,0.16801629023472445,100000
nyc_taxi,0,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,4,0.15011293473862902,100000
nyc_taxi,0,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,4,0.19483952502599186,100000
nyc_taxi,0,dimension_drift|duplicate_facts|stale_timestamps|value_noise,dimension_drift|duplicate_facts|stale_timestamps|value_noise,4,0.2042773166046129,100000
nyc_taxi,0,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,4,0.17094422655070288,100000
nyc_taxi,0,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,5,0.19728909264949215,100000
nyc_taxi,0,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,5,0.1305968943513236,100000
nyc_taxi,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,5,0.15371463979720518,100000
nyc_taxi,0,dimension_drift|duplicate_facts|missing_measures|stale_timestamps|value_noise,dimension_drift|duplicate_facts|missing_measures|stale_timestamps|value_noise,5,0.17073321577071474,100000
nyc_taxi,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,5,0.18548603750739617,100000
nyc_taxi,0,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,5,0.1948395250259925,100000
nyc_taxi,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,6,0.1797600945458463,100000
nyc_taxi,1,EMPTY,EMPTY,0,0.0,100000
nyc_taxi,1,missing_measures,missing_measures,1,0.05136989622536753,100000
nyc_taxi,1,value_noise,value_noise,1,0.043145789144872757,100000
nyc_taxi,1,orphan_foreign_keys,orphan_foreign_keys,1,0.026700494837480642,100000
nyc_taxi,1,stale_timestamps,stale_timestamps,1,0.04990697380057918,100000
nyc_taxi,1,dimension_drift,dimension_drift,1,0.13040787526463105,100000
nyc_taxi,1,duplicate_facts,duplicate_facts,1,0.06435175049431177,100000
nyc_taxi,1,missing_measures|value_noise,missing_measures|value_noise,2,0.03480913129809464,100000
nyc_taxi,1,missing_measures|orphan_foreign_keys,missing_measures|orphan_foreign_keys,2,0.07696359429226513,100000
nyc_taxi,1,missing_measures|stale_timestamps,missing_measures|stale_timestamps,2,0.0964403349821299,100000
nyc_taxi,1,dimension_drift|missing_measures,dimension_drift|missing_measures,2,0.17409565018590747,100000
nyc_taxi,1,duplicate_facts|missing_measures,duplicate_facts|missing_measures,2,0.02200249367965565,100000
nyc_taxi,1,orphan_foreign_keys|value_noise,orphan_foreign_keys|value_noise,2,0.0471819679146336,100000
nyc_taxi,1,stale_timestamps|value_noise,stale_timestamps|value_noise,2,0.06384320772476981,100000
nyc_taxi,1,dimension_drift|value_noise,dimension_drift|value_noise,2,0.1621906103848732,100000
