regime,channel,paired_width,unpaired_width,paired_unpaired_ratio
nyc_taxi,missing_measures,0.00104802718341886,0.006371051187707186,0.1644983147272474
nyc_taxi,value_noise,0.0058537450534333,0.0062898514224780655,0.930665076207325
nyc_taxi,orphan_foreign_keys,0.01556141266778808,0.008220093758671903,1.8930943033796117
nyc_taxi,stale_timestamps,0.0006034651980406092,0.006251252107653253,0.0965350921140745
nyc_taxi,dimension_drift,0.023455345763381943,0.009106052731273129,2.575797269746605
nyc_taxi,duplicate_facts,0.011840144833174943,0.008053246113977647,1.4702325826879363
seasonal,missing_measures,0.0011584606001801604,0.0007721861316579443,1.5002349209417352
seasonal,value_noise,0.0014940423176981292,0.0006269932009364924,2.3828684513111003
seasonal,orphan_foreign_keys,0.00039763644837041267,0.0006024815774188352,0.6599976883508629
seasonal,stale_timestamps,0.0006731809699689582,0.0006103543248039932,1.1029347095806046
seasonal,dimension_drift,0.001090678406588543,0.0006051916849833675,1.8022032252781501
seasonal,duplicate_facts,0.0011530281662931324,0.0006070121540950844,1.8995141341313542
skewed,missing_measures,0.0012241172624136666,0.004488174896209167,0.2727427720001707
skewed,value_noise,0.0016213969765602708,0.003948306326788019,0.4106563276409435
skewed,orphan_foreign_keys,0.0011805831090104064,0.004471326673937818,0.2640341883074018
skewed,stale_timestamps,0.0005659903056021293,0.004303977231861211,0.13150401944793108
skewed,dimension_drift,0.01573984532046857,0.004299292974658597,3.661031107497032
skewed,duplicate_facts,0.0014262428346574103,0.004065413956657694,0.3508235200309023
uniform,missing_measures,0.0010482817757681302,0.000830471674533271,1.2622727636764608
uniform,value_noise,0.0021453026626435147,0.0008673984847021587,2.4732607912961178
uniform,orphan_foreign_keys,0.0005871202045632622,0.0008049277486126315,0.7294073357207761
uniform,stale_timestamps,0.0006526112885617726,0.0008593831844690078,0.7593949944052086
uniform,dimension_drift,0.0019202460425680116,0.0008191949701998194,2.3440647372378542
uniform,duplicate_facts,0.0010930521172637722,0.0007397061526993112,1.4776842307922444
