coalition,loss
mechanism_01|mechanism_06|mechanism_08,0.23325893577145726
mechanism_01|mechanism_06|mechanism_09,0.22970105095339813
mechanism_01|mechanism_06|mechanism_10,0.22705774060326145
mechanism_01|mechanism_06|mechanism_11,0.2244359857309266
mechanism_01|mechanism_06|mechanism_12,0.22183581507529954
mechanism_01|mechanism_07|mechanism_08,0.20751005855963564
mechanism_01|mechanism_07|mechanism_09,0.2042403022840918
mechanism_01|mechanism_07|mechanism_10,0.21332472781586043
mechanism_01|mechanism_07|mechanism_11,0.19940775684866852
mechanism_01|mechanism_07|mechanism_12,0.1970238855938462
mechanism_01|mechanism_08|mechanism_09,0.20100899975052938
mechanism_01|mechanism_08|mechanism_10,0.19861073488544276
mechanism_01|mechanism_08|mechanism_11,0.19623405636577915
mechanism_01|mechanism_08|mechanism_12,0.19387893782385993
mechanism_01|mechanism_09|mechanism_10,0.19544662272643765
mechanism_01|mechanism_09|mechanism_11,0.20100899975052938
mechanism_01|mechanism_09|mechanism_12,0.19077226383992194
mechanism_01|mechanism_10|mechanism_11,0.19077226383992194
mechanism_01|mechanism_10|mechanism_12,0.18846732521381943
mechanism_01|mechanism_11|mechanism_12,0.18618382790150856
mechanism_02|mechanism_03|mechanism_04,0.2650274005334812
mechanism_02|mechanism_03|mechanism_05,0.259225100817846
mechanism_02|mechanism_03|mechanism_06,0.2535060166623378
mechanism_02|mechanism_03|mechanism_07,0.24973989440488245
mechanism_02|mechanism_03|mechanism_08,0.2244359857309266
mechanism_02|mechanism_03|mechanism_09,0.24232036099629517
mechanism_02|mechanism_03|mechanism_10,0.23957699801126897
mechanism_02|mechanism_03|mechanism_11,0.23685498427314453
mechanism_02|mechanism_03|mechanism_12,0.23415437418020288
mechanism_02|mechanism_04|mechanism_05,0.24048908305088898
mechanism_02|mechanism_04|mechanism_06,0.21585281082251456
mechanism_02|mechanism_04|mechanism_07,0.21248684412253915
mechanism_02|mechanism_04|mechanism_08,0.2091593652130633
mechanism_02|mechanism_04|mechanism_09,0.20587037180094736
mechanism_02|mechanism_04|mechanism_10,0.20342887290906736
mechanism_02|mechanism_04|mechanism_11,0.20100899975052938
mechanism_02|mechanism_04|mechanism_12,0.19861073488544276
mechanism_02|mechanism_05|mechanism_06,0.21081829347774714
mechanism_02|mechanism_05|mechanism_07,0.20751005855963564
mechanism_02|mechanism_05|mechanism_08,0.2042403022840918
mechanism_02|mechanism_05|mechanism_09,0.18846732521381943
mechanism_02|mechanism_05|mechanism_10,0.19861073488544276
mechanism_02|mechanism_05|mechanism_11,0.19623405636577915
mechanism_02|mechanism_05|mechanism_12,0.19387893782385993
mechanism_02|mechanism_06|mechanism_07,0.20261984643113046
mechanism_02|mechanism_06|mechanism_08,0.19940775684866852
mechanism_02|mechanism_06|mechanism_09,0.19623405636577915
mechanism_02|mechanism_06|mechanism_10,0.19387893782385993
mechanism_02|mechanism_06|mechanism_11,0.19154534856146752
mechanism_02|mechanism_06|mechanism_12,0.18923325363949448
mechanism_02|mechanism_07|mechanism_08,0.19623405636577915
mechanism_02|mechanism_07|mechanism_09,0.19309868423321644
mechanism_02|mechanism_07|mechanism_10,0.20181322226037884
mechanism_02|mechanism_07|mechanism_11,0.18846732521381943
mechanism_02|mechanism_07|mechanism_12,0.18618382790150856
mechanism_02|mechanism_08|mechanism_09,0.19000156601531298
mechanism_02|mechanism_08|mechanism_10,0.18770377918951323
mechanism_02|mechanism_08|mechanism_11,0.18542741929298223
mechanism_02|mechanism_08|mechanism_12,0.18317244051905116
mechanism_02|mechanism_09|mechanism_10,0.18467338639691713
mechanism_02|mechanism_09|mechanism_11,0.19000156601531298
mechanism_02|mechanism_09|mechanism_12,0.18019897519805125
mechanism_02|mechanism_10|mechanism_11,0.18019897519805125
mechanism_02|mechanism_10|mechanism_12,0.17799368578624652
mechanism_02|mechanism_11|mechanism_12,0.175809597088929
mechanism_03|mechanism_04|mechanism_05,0.23147521650098238
mechanism_03|mechanism_04|mechanism_06,0.20751005855963564
mechanism_03|mechanism_04|mechanism_07,0.2042403022840918
mechanism_03|mechanism_04|mechanism_08,0.18242552380635635
mechanism_03|mechanism_04|mechanism_09,0.19781611144141825
mechanism_03|mechanism_04|mechanism_10,0.19544662272643765
mechanism_03|mechanism_04|mechanism_11,0.19309868423321644
mechanism_03|mechanism_04|mechanism_12,0.19077226383992194
mechanism_03|mechanism_05|mechanism_06,0.20261984643113046
mechanism_03|mechanism_05|mechanism_07,0.19940775684866852
mechanism_03|mechanism_05|mechanism_08,0.17799368578624652
mechanism_03|mechanism_05|mechanism_09,0.180938793152142
mechanism_03|mechanism_05|mechanism_10,0.19077226383992194
mechanism_03|mechanism_05|mechanism_11,0.18846732521381943
mechanism_03|mechanism_05|mechanism_12,0.18618382790150856
mechanism_03|mechanism_06|mechanism_07,0.19466158359157792
mechanism_03|mechanism_06|mechanism_08,0.17364664701900503
mechanism_03|mechanism_06|mechanism_09,0.18846732521381943
mechanism_03|mechanism_06|mechanism_10,0.18618382790150856
mechanism_03|mechanism_06|mechanism_11,0.18392172741950427
mechanism_03|mechanism_06|mechanism_12,0.18168097534508462
mechanism_03|mechanism_07|mechanism_08,0.17079548202237446
mechanism_03|mechanism_07|mechanism_09,0.18542741929298223
mechanism_03|mechanism_07|mechanism_10,0.19387893782385993
mechanism_03|mechanism_07|mechanism_11,0.18093879315214204
mechanism_03|mechanism_07|mechanism_12,0.17872642365885047
mechanism_03|mechanism_08|mechanism_09,0.1652048701906146
mechanism_03|mechanism_08|mechanism_10,0.16314656214056913
mechanism_03|mechanism_08|mechanism_11,0.16110894957658525
mechanism_03|mechanism_08|mechanism_12,0.15909194771428195
mechanism_03|mechanism_09|mechanism_10,0.1772633035782569
mechanism_03|mechanism_09|mechanism_11,0.18242552380635638
mechanism_03|mechanism_09|mechanism_12,0.17293034989613867
mechanism_03|mechanism_10|mechanism_11,0.17293034989613867
mechanism_03|mechanism_10|mechanism_12,0.17079548202237452
mechanism_03|mechanism_11|mechanism_12,0.16868159439781955
mechanism_04|mechanism_05|mechanism_06,0.19623405636577915
mechanism_04|mechanism_05|mechanism_07,0.20915936521306333
mechanism_04|mechanism_05|mechanism_08,0.20587037180094736
mechanism_04|mechanism_05|mechanism_09,0.19000156601531298
mechanism_04|mechanism_05|mechanism_10,0.20020717819927933
mechanism_04|mechanism_05|mechanism_11,0.19781611144141828
mechanism_04|mechanism_05|mechanism_12,0.19544662272643767
mechanism_04|mechanism_06|mechanism_07,0.18694261396804635
mechanism_04|mechanism_06|mechanism_08,0.1839217274195043
mechanism_04|mechanism_06|mechanism_09,0.18093879315214204
