regime,repeat,coalition,coalition_key,coalition_size,loss,orders
uniform,0,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.08783469834699177,100000
uniform,0,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.06081006011417869,100000
uniform,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,4,0.03905718507332894,100000
uniform,0,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,4,0.052264966310196836,100000
uniform,0,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,4,0.05807121174862721,100000
uniform,0,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,4,0.10183629955069645,100000
uniform,0,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,4,0.10159639292742181,100000
uniform,0,dimension_drift|duplicate_facts|stale_timestamps|value_noise,dimension_drift|duplicate_facts|stale_timestamps|value_noise,4,0.12000436241745688,100000
uniform,0,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,4,0.06159154772197532,100000
uniform,0,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,5,0.07199678719294929,100000
uniform,0,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,5,0.07096947560818098,100000
uniform,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,5,0.06060137838847137,100000
uniform,0,dimension_drift|duplicate_facts|missing_measures|stale_timestamps|value_noise,dimension_drift|duplicate_facts|missing_measures|stale_timestamps|value_noise,5,0.07655770878307877,100000
uniform,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,5,0.06282577000529882,100000
uniform,0,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,5,0.10385200944181652,100000
uniform,0,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,6,0.07298518549930111,100000
uniform,1,EMPTY,EMPTY,0,0.0,100000
uniform,1,missing_measures,missing_measures,1,0.049171078826875485,100000
uniform,1,value_noise,value_noise,1,0.04350880009065913,100000
uniform,1,orphan_foreign_keys,orphan_foreign_keys,1,0.013743363461142896,100000
uniform,1,stale_timestamps,stale_timestamps,1,0.029153814873913393,100000
uniform,1,dimension_drift,dimension_drift,1,0.00651331839293596,100000
uniform,1,duplicate_facts,duplicate_facts,1,0.06350416968312095,100000
uniform,1,missing_measures|value_noise,missing_measures|value_noise,2,0.033987028516465435,100000
uniform,1,missing_measures|orphan_foreign_keys,missing_measures|orphan_foreign_keys,2,0.061728264610594524,100000
uniform,1,missing_measures|stale_timestamps,missing_measures|stale_timestamps,2,0.07286630895849307,100000
uniform,1,dimension_drift|missing_measures,dimension_drift|missing_measures,2,0.053189319198109306,100000
uniform,1,duplicate_facts|missing_measures,duplicate_facts|missing_measures,2,0.02428315851141171,100000
uniform,1,orphan_foreign_keys|value_noise,orphan_foreign_keys|value_noise,2,0.04137321630368387,100000
uniform,1,stale_timestamps|value_noise,stale_timestamps|value_noise,2,0.05780023451447891,100000
uniform,1,dimension_drift|value_noise,dimension_drift|value_noise,2,0.047527040461893155,100000
uniform,1,duplicate_facts|value_noise,duplicate_facts|value_noise,2,0.1082944651964339,100000
uniform,1,orphan_foreign_keys|stale_timestamps,orphan_foreign_keys|stale_timestamps,2,0.04289717833505629,100000
