regime,query,channel,debt,ci_low,ci_high,probability_harmful,rank_1_probability
skewed,customers_region,duplicate_facts,0.0,0.0,0.0,0.0,0.0
skewed,daily_revenue,stale_timestamps,0.08312465677162086,0.08202078248293221,0.08423732803896004,1.0,1.0
skewed,daily_revenue,value_noise,0.03570519557261311,0.034006682118200286,0.03725414531259534,1.0,0.0
skewed,daily_revenue,duplicate_facts,0.02645796081768908,0.02573477606665703,0.02726164190470812,1.0,0.0
skewed,daily_revenue,missing_measures,0.017888183064852188,0.017049040164937555,0.018699876127828426,1.0,0.0
skewed,daily_revenue,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
skewed,daily_revenue,dimension_drift,0.0,0.0,0.0,0.0,0.0
skewed,orders_status,duplicate_facts,0.09999999999999992,0.09999999999999991,0.09999999999999991,1.0,1.0
skewed,orders_status,missing_measures,0.0,0.0,0.0,0.0,0.0
skewed,orders_status,value_noise,0.0,0.0,0.0,0.0,0.0
skewed,orders_status,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
skewed,orders_status,stale_timestamps,0.0,0.0,0.0,0.0,0.0
skewed,orders_status,dimension_drift,0.0,0.0,0.0,0.0,0.0
skewed,refund_region,dimension_drift,0.011371170474826645,0.009005364589890801,0.014060577460628923,1.0,1.0
skewed,refund_region,orphan_foreign_keys,0.004537986139776863,0.002850444175614787,0.006855783214553458,1.0,0.0
skewed,refund_region,duplicate_facts,0.003672235292273506,0.002132316596446172,0.00608319436957638,1.0,0.0
skewed,refund_region,missing_measures,0.0,0.0,0.0,0.0,0.0
skewed,refund_region,value_noise,0.0,0.0,0.0,0.0,0.0
skewed,refund_region,stale_timestamps,0.0,0.0,0.0,0.0,0.0
skewed,revenue_category,duplicate_facts,0.040039259299242354,0.03842699294765984,0.04155520871402237,1.0,1.0
skewed,revenue_category,value_noise,0.03789037725002277,0.03599009265359893,0.03964513976106863,1.0,0.0
skewed,revenue_category,stale_timestamps,0.0,0.0,0.0,0.0,0.0
