orders,seconds,coalition_evaluations,query_executions,peak_risk
10000,9.548623299982864,64,512,0.14371062367613563
100000,22.172605699975975,64,512,0.12000436241745688
1000000,97.22100180000416,64,512,0.1088784465199536
