regime,permutations,trial,rmse,max_error,top1,unique_coalitions,coalition_fraction,hoeffding_radius
uniform,2,0,0.006122379038197013,0.012309609048878747,True,12,0.1875,2.3410764454288953
uniform,2,1,0.014122180531346406,0.029680775433569728,False,12,0.1875,2.3410764454288953
uniform,2,2,0.024715975318728305,0.04747561957939735,False,11,0.171875,2.3410764454288953
uniform,2,3,0.02660553943799045,0.05010832306161056,True,11,0.171875,2.3410764454288953
uniform,2,4,0.02413292902207814,0.0445579452580782,False,12,0.1875,2.3410764454288953
uniform,2,5,0.020430520414772217,0.03678670750573136,False,12,0.1875,2.3410764454288953
uniform,2,6,0.026979639643419064,0.047036339075105904,False,10,0.15625,2.3410764454288953
uniform,2,7,0.01158465323351874,0.02535303709390212,True,12,0.1875,2.3410764454288953
uniform,2,8,0.024335708077934514,0.041405426831294945,True,12,0.1875,2.3410764454288953
uniform,2,9,0.026135253511437966,0.04275550133677011,True,12,0.1875,2.3410764454288953
uniform,2,10,0.023598346303786603,0.041872313913716555,False,11,0.171875,2.3410764454288953
uniform,2,11,0.012956891142055633,0.021069926873938476,True,12,0.1875,2.3410764454288953
uniform,2,12,0.0036692297800136877,0.0055640807269226366,False,12,0.1875,2.3410764454288953
uniform,2,13,0.01876890499697375,0.03678670750573136,False,12,0.1875,2.3410764454288953
uniform,2,14,0.018381340920089976,0.030831180192252623,True,12,0.1875,2.3410764454288953
uniform,2,15,0.025612048323553932,0.0445579452580782,False,11,0.171875,2.3410764454288953
uniform,2,16,0.024879532468017666,0.04168291941984811,True,11,0.171875,2.3410764454288953
uniform,2,17,0.02444337082587229,0.04321512958589737,False,12,0.1875,2.3410764454288953
uniform,2,18,0.022698543014083774,0.04080502863091694,True,11,0.171875,2.3410764454288953
uniform,2,19,0.005831594821553674,0.01007294052426895,False,11,0.171875,2.3410764454288953
uniform,2,20,0.005846686680561025,0.01007294052426895,False,11,0.171875,2.3410764454288953
uniform,2,21,0.012573504655417986,0.02576658577061278,False,11,0.171875,2.3410764454288953
uniform,2,22,0.02507548991666645,0.046132803907216524,False,10,0.15625,2.3410764454288953
uniform,2,23,0.008938176913333507,0.014730213630161651,False,12,0.1875,2.3410764454288953
uniform,2,24,0.005305495041688853,0.007684265038510941,False,12,0.1875,2.3410764454288953
uniform,2,25,0.025792025464016637,0.04747561957939735,False,9,0.140625,2.3410764454288953
