setting,dataset,model,repeat,coalition,coalition_key,coalition_size,loss,train_rows
breast_cancer__logistic,breast_cancer,logistic,2,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.04678362573099415,458
breast_cancer__logistic,breast_cancer,logistic,2,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.04678362573099415,458
breast_cancer__logistic,breast_cancer,logistic,2,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.07017543859649122,458
breast_cancer__logistic,breast_cancer,logistic,2,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.08187134502923976,458
breast_cancer__logistic,breast_cancer,logistic,3,EMPTY,EMPTY,0,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,3,missing_cells,missing_cells,1,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,3,feature_noise,feature_noise,1,0.05263157894736842,398
breast_cancer__logistic,breast_cancer,logistic,3,target_noise,target_noise,1,0.1111111111111111,398
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows,duplicate_rows,1,0.04678362573099415,458
breast_cancer__logistic,breast_cancer,logistic,3,feature_noise|missing_cells,feature_noise|missing_cells,2,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,3,missing_cells|target_noise,missing_cells|target_noise,2,0.08187134502923976,398
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,3,feature_noise|target_noise,feature_noise|target_noise,2,0.08771929824561403,398
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.10526315789473684,458
breast_cancer__logistic,breast_cancer,logistic,3,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.07017543859649122,398
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.07017543859649122,458
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.07602339181286549,458
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.0935672514619883,458
breast_cancer__logistic,breast_cancer,logistic,3,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.08187134502923976,458
breast_cancer__logistic,breast_cancer,logistic,4,EMPTY,EMPTY,0,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,4,missing_cells,missing_cells,1,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,4,feature_noise,feature_noise,1,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,4,target_noise,target_noise,1,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows,duplicate_rows,1,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,4,feature_noise|missing_cells,feature_noise|missing_cells,2,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,4,missing_cells|target_noise,missing_cells|target_noise,2,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.017543859649122806,458
breast_cancer__logistic,breast_cancer,logistic,4,feature_noise|target_noise,feature_noise|target_noise,2,0.05263157894736842,398
