setting,dataset,model,repeat,coalition,coalition_key,coalition_size,loss,train_rows
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,10,EMPTY,EMPTY,0,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,10,missing_cells,missing_cells,1,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,10,feature_noise,feature_noise,1,0.07602339181286549,398
breast_cancer__logistic,breast_cancer,logistic,10,target_noise,target_noise,1,0.06432748538011696,398
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows,duplicate_rows,1,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,10,feature_noise|missing_cells,feature_noise|missing_cells,2,0.08187134502923976,398
breast_cancer__logistic,breast_cancer,logistic,10,missing_cells|target_noise,missing_cells|target_noise,2,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,10,feature_noise|target_noise,feature_noise|target_noise,2,0.08771929824561403,398
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.08187134502923976,458
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.07602339181286549,458
breast_cancer__logistic,breast_cancer,logistic,10,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.07017543859649122,398
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.07602339181286549,458
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.04678362573099415,458
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.08771929824561403,458
breast_cancer__logistic,breast_cancer,logistic,10,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.07602339181286549,458
breast_cancer__logistic,breast_cancer,logistic,11,EMPTY,EMPTY,0,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,11,missing_cells,missing_cells,1,0.011695906432748537,398
breast_cancer__logistic,breast_cancer,logistic,11,feature_noise,feature_noise,1,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,11,target_noise,target_noise,1,0.0935672514619883,398
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows,duplicate_rows,1,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,11,feature_noise|missing_cells,feature_noise|missing_cells,2,0.05263157894736842,398
breast_cancer__logistic,breast_cancer,logistic,11,missing_cells|target_noise,missing_cells|target_noise,2,0.08771929824561403,398
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.017543859649122806,458
breast_cancer__logistic,breast_cancer,logistic,11,feature_noise|target_noise,feature_noise|target_noise,2,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.11695906432748537,458
breast_cancer__logistic,breast_cancer,logistic,11,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.06432748538011696,398
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.05847953216374269,458
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.10526315789473684,458
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.07602339181286549,458
breast_cancer__logistic,breast_cancer,logistic,11,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.07602339181286549,458
breast_cancer__forest,breast_cancer,forest,0,EMPTY,EMPTY,0,0.05847953216374269,398
breast_cancer__forest,breast_cancer,forest,0,missing_cells,missing_cells,1,0.04678362573099415,398
breast_cancer__forest,breast_cancer,forest,0,feature_noise,feature_noise,1,0.05847953216374269,398
breast_cancer__forest,breast_cancer,forest,0,target_noise,target_noise,1,0.029239766081871343,398
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows,duplicate_rows,1,0.05847953216374269,458
breast_cancer__forest,breast_cancer,forest,0,feature_noise|missing_cells,feature_noise|missing_cells,2,0.06432748538011696,398
breast_cancer__forest,breast_cancer,forest,0,missing_cells|target_noise,missing_cells|target_noise,2,0.05263157894736842,398
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.04678362573099415,458
breast_cancer__forest,breast_cancer,forest,0,feature_noise|target_noise,feature_noise|target_noise,2,0.04093567251461988,398
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.05847953216374269,458
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.04093567251461988,458
breast_cancer__forest,breast_cancer,forest,0,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.05263157894736842,398
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.05847953216374269,458
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.023391812865497075,458
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.04093567251461988,458
breast_cancer__forest,breast_cancer,forest,0,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.04093567251461988,458
breast_cancer__forest,breast_cancer,forest,1,EMPTY,EMPTY,0,0.017543859649122806,398
breast_cancer__forest,breast_cancer,forest,1,missing_cells,missing_cells,1,0.029239766081871343,398
breast_cancer__forest,breast_cancer,forest,1,feature_noise,feature_noise,1,0.029239766081871343,398
breast_cancer__forest,breast_cancer,forest,1,target_noise,target_noise,1,0.023391812865497075,398
breast_cancer__forest,breast_cancer,forest,1,duplicate_rows,duplicate_rows,1,0.023391812865497075,458
breast_cancer__forest,breast_cancer,forest,1,feature_noise|missing_cells,feature_noise|missing_cells,2,0.03508771929824561,398
breast_cancer__forest,breast_cancer,forest,1,missing_cells|target_noise,missing_cells|target_noise,2,0.029239766081871343,398
breast_cancer__forest,breast_cancer,forest,1,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.03508771929824561,458
breast_cancer__forest,breast_cancer,forest,1,feature_noise|target_noise,feature_noise|target_noise,2,0.029239766081871343,398
breast_cancer__forest,breast_cancer,forest,1,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.023391812865497075,458
breast_cancer__forest,breast_cancer,forest,1,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.03508771929824561,458
breast_cancer__forest,breast_cancer,forest,1,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.04093567251461988,398
breast_cancer__forest,breast_cancer,forest,1,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.04093567251461988,458
breast_cancer__forest,breast_cancer,forest,1,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.04093567251461988,458
