setting,dataset,model,task,n_rows,n_features,clean_loss,fully_corrupted_loss,total_debt,efficiency_residual,top_channel,top_probability,max_abs_interaction,median_paired_unpaired_width_ratio,hoeffding_radius,shapley_choice,shapley_realized_repair_gain,singleton_choice,singleton_realized_repair_gain,oracle_choice,oracle_repair_gain,uniform_expected_repair_gain,provenance
breast_cancer__logistic,breast_cancer,logistic,classification,569,30,0.02046783625730994,0.05847953216374269,0.038011695906432746,0.0,target_noise,0.9825,0.014213775178687466,0.9462352720923211,1.037743399268634,target_noise,0.017543859649122806,target_noise,0.017543859649122806,target_noise,0.017543859649122806,0.006944444444444442,UCI Wisconsin Diagnostic Breast Cancer via scikit-learn 1.9.0
breast_cancer__forest,breast_cancer,forest,classification,569,30,0.039473684210526314,0.050682261208576995,0.011208576998050682,0.0,missing_cells,0.683,0.0038986354775828506,0.6057270094217296,1.037743399268634,missing_cells,0.0063352826510721175,missing_cells,0.0063352826510721175,missing_cells,0.0063352826510721175,0.00414230019493177,UCI Wisconsin Diagnostic Breast Cancer via scikit-learn 1.9.0
wine__logistic,wine,logistic,classification,178,13,0.020061728395061727,0.08487654320987653,0.0648148148148148,0.0,target_noise,0.9975,0.02031893004115226,0.9340297557417439,1.037743399268634,target_noise,0.03395061728395062,target_noise,0.03395061728395062,target_noise,0.03395061728395062,0.008101851851851851,UCI Wine Recognition via scikit-learn 1.9.0
wine__forest,wine,forest,classification,178,13,0.020061728395061727,0.03703703703703703,0.0169753086419753,0.0,target_noise,0.7825,0.00540123456790124,0.7667875821632127,1.037743399268634,target_noise,0.0046296296296296224,target_noise,0.0046296296296296224,target_noise,0.0046296296296296224,-0.002314814814814825,UCI Wine Recognition via scikit-learn 1.9.0
diabetes__ridge,diabetes,ridge,regression,442,10,0.35110469496968805,0.3932212081827387,0.042116513213050655,0.0,feature_noise,1.0,0.009550860298633177,0.23118487384577907,1.037743399268634,feature_noise,0.031042366270856825,feature_noise,0.031042366270856825,feature_noise,0.031042366270856825,0.008433640444634058,Diabetes progression dataset via scikit-learn 1.9.0
diabetes__forest,diabetes,forest,regression,442,10,0.36646031223061654,0.3806950469166892,0.01423473468607267,0.0,feature_noise,0.5925,0.003108183510743675,0.24495369925660831,1.037743399268634,feature_noise,0.0053997149263791955,feature_noise,0.0053997149263791955,feature_noise,0.0053997149263791955,0.0034996455458904258,Diabetes progression dataset via scikit-learn 1.9.0
synthetic_nonlinear__logistic,synthetic_nonlinear,logistic,classification,900,18,0.3049382716049383,0.2916666666666667,-0.01327160493827162,0.0,missing_cells,0.5475,0.005761316872427988,1.1019371690990956,1.037743399268634,missing_cells,0.002777777777777768,missing_cells,0.002777777777777768,target_noise,0.003395061728395099,-0.0030864197530864057,Pinned make_classification generator (seed 7341)
synthetic_nonlinear__forest,synthetic_nonlinear,forest,classification,900,18,0.19969135802469137,0.2725308641975309,0.07283950617283955,0.0,feature_noise,0.991,0.016512345679012306,1.1314259362219041,1.037743399268634,feature_noise,0.02345679012345689,feature_noise,0.02345679012345689,feature_noise,0.02345679012345689,0.012268518518518588,Pinned make_classification generator (seed 7341)
