severity,channel,debt,ci_low,ci_high,probability_harmful,rank_1_probability
0.05,missing_cells,0.0010802469135802648,-0.0007716049382716086,0.002701581790123484,0.8815,0.641
0.05,duplicate_rows,0.00038580246913582267,-0.0011188271604938387,0.001851851851851878,0.6755,0.24
0.05,target_noise,-0.0020061728395061964,-0.005478395061728378,0.0009268904320987609,0.1,0.0355
0.05,feature_noise,-0.004552469135802484,-0.013348765432098774,0.003356481481481474,0.143,0.0835
0.1,duplicate_rows,0.0014274691358024763,-0.0011574074074073898,0.0040123456790123555,0.8575,0.7735
0.1,missing_cells,-0.00027006172839506387,-0.003010223765432101,0.002507716049382723,0.435,0.21
0.1,feature_noise,-0.009375000000000022,-0.0165914351851852,-0.0011188271604938428,0.0125,0.011
0.1,target_noise,-0.009837962962962937,-0.01832658179012346,-0.0008101851851851867,0.0155,0.0055
0.2,missing_cells,0.002970679012345674,-0.00030864197530864246,0.005943287037037031,0.9635,0.601
0.2,target_noise,0.0019675925925926136,-0.005979938271604951,0.009336419753086411,0.678,0.3795
0.2,duplicate_rows,-0.001736111111111105,-0.005826581790123442,0.0028163580246913693,0.211,0.0195
0.2,feature_noise,-0.019405864197530848,-0.025775462962962972,-0.01257330246913582,0.0,0.0
0.3,target_noise,0.02098765432098767,0.0018123070987654019,0.0446383101851852,0.9895,0.797
0.3,missing_cells,0.01304012345679011,0.006480516975308617,0.01979166666666666,1.0,0.202
0.3,duplicate_rows,0.006249999999999996,-3.954475308642954e-05,0.014313271604938286,0.9715,0.001
0.3,feature_noise,-0.02638888888888888,-0.03622685185185184,-0.016665702160493814,0.0,0.0
